iteration,rtt_ms,status
354,0.756,ok
355,0.853,ok
356,0.693,ok
357,0.523,ok
358,0.783,ok
359,0.714,ok
360,0.628,ok
361,0.949,ok
362,0.943,ok
363,0.635,ok
364,0.546,ok
365,0.580,ok
366,0.774,ok
367,0.602,ok
368,0.624,ok
369,0.605,ok
370,0.651,ok
371,0.539,ok
372,0.564,ok
373,0.648,ok
374,0.643,ok
375,0.471,ok
376,0.559,ok
377,0.603,ok
378,0.628,ok
379,0.628,ok
380,0.506,ok
381,0.566,ok
382,0.510,ok
383,0.461,ok
384,0.675,ok
385,0.606,ok
386,0.586,ok
387,0.623,ok
388,0.452,ok
389,0.351,ok
390,0.367,ok
391,0.352,ok
392,0.461,ok
393,0.425,ok
394,0.434,ok
395,0.586,ok
396,0.484,ok
397,0.520,ok
398,0.484,ok
399,0.382,ok
400,0.387,ok
401,0.393,ok
402,0.359,ok
403,0.527,ok
404,0.495,ok
405,0.545,ok
406,0.494,ok
407,0.440,ok
408,0.421,ok
409,0.501,ok
410,0.422,ok
411,0.386,ok
412,0.881,ok
413,0.562,ok
414,0.598,ok
415,0.604,ok
416,0.893,ok
417,0.574,ok
418,0.625,ok
419,0.621,ok
420,0.531,ok
421,0.506,ok
422,100.898,ok
423,0.861,ok
424,0.731,ok
425,0.886,ok
426,0.775,ok
427,0.618,ok
428,0.656,ok
429,0.795,ok
430,0.757,ok
431,0.556,ok
432,0.489,ok
433,0.599,ok
434,0.656,ok
435,0.584,ok
436,0.743,ok
437,0.669,ok
438,0.464,ok
439,0.425,ok
440,0.411,ok
441,0.468,ok
442,0.417,ok
443,0.439,ok
444,0.515,ok
445,0.444,ok
446,0.400,ok
447,0.324,ok
448,0.482,ok
449,0.538,ok
450,0.458,ok
451,0.468,ok
452,0.455,ok
453,0.717,ok
454,0.643,ok
455,0.514,ok
456,0.646,ok
457,0.594,ok
458,0.622,ok
459,0.584,ok
460,0.630,ok
461,0.713,ok
462,0.700,ok
463,0.875,ok
464,0.568,ok
465,0.887,ok
466,0.644,ok
467,0.793,ok
468,1.022,ok
469,0.632,ok
470,0.648,ok
471,0.684,ok
472,0.510,ok
473,0.481,ok
474,0.553,ok
475,0.495,ok
476,0.492,ok
477,0.399,ok
478,0.402,ok
479,0.384,ok
480,0.393,ok
481,0.391,ok
482,0.381,ok
483,0.399,ok
484,0.369,ok
485,0.346,ok
486,0.343,ok
487,0.442,ok
488,0.404,ok
489,0.372,ok
490,0.414,ok
491,0.398,ok
492,0.573,ok
493,0.413,ok
494,1.000,ok
495,0.485,ok
496,0.578,ok
497,0.571,ok
498,81.409,ok
499,1.166,ok
500,0.597,ok
501,1.322,ok
502,1.157,ok
503,0.899,ok
504,1.355,ok
505,0.625,ok
506,0.625,ok
507,0.656,ok
508,0.830,ok
509,0.612,ok
510,0.768,ok
511,0.478,ok
512,0.642,ok
513,0.467,ok
514,0.483,ok
515,0.695,ok
516,0.549,ok
517,0.589,ok
518,0.841,ok
519,0.906,ok
520,0.543,ok
521,0.570,ok
522,0.953,ok
523,0.639,ok
524,0.631,ok
525,0.934,ok
526,0.946,ok
527,0.686,ok
528,0.742,ok
529,0.677,ok
530,0.677,ok
531,0.623,ok
532,0.574,ok
533,0.646,ok
534,0.596,ok
535,0.450,ok
536,0.538,ok
537,0.500,ok
538,0.494,ok
539,0.542,ok
540,0.509,ok
541,0.507,ok
542,0.480,ok
543,0.496,ok
544,0.589,ok
545,0.449,ok
546,0.431,ok
547,0.473,ok
548,0.435,ok
549,0.387,ok
550,0.430,ok
551,0.428,ok
552,0.400,ok
553,0.482,ok
554,0.455,ok
555,0.444,ok
556,0.452,ok
557,1.122,ok
558,0.553,ok
559,0.656,ok
560,0.583,ok
561,0.895,ok
562,1.043,ok
563,0.579,ok
564,0.596,ok
565,0.767,ok
566,0.819,ok
567,0.741,ok
568,0.530,ok
569,0.619,ok
570,0.496,ok
571,0.721,ok
572,0.642,ok
573,0.620,ok
574,0.521,ok
575,0.443,ok
576,0.414,ok
577,0.374,ok
578,0.397,ok
579,0.394,ok
580,0.377,ok
581,0.388,ok
582,0.483,ok
583,0.361,ok
584,0.357,ok
585,0.376,ok
586,0.365,ok
587,0.348,ok
588,0.357,ok
589,0.358,ok
590,0.356,ok
591,0.473,ok
592,0.381,ok
593,0.421,ok
594,0.470,ok
595,0.467,ok
596,0.377,ok
597,84.195,ok
598,0.700,ok
599,0.533,ok
600,0.469,ok
601,0.458,ok
602,0.362,ok
603,0.352,ok
604,0.365,ok
605,0.380,ok
606,0.552,ok
607,0.520,ok
608,0.529,ok
609,0.534,ok
610,0.503,ok
611,0.984,ok
612,0.457,ok
613,0.616,ok
614,0.898,ok
615,0.663,ok
616,0.687,ok
617,0.604,ok
618,0.657,ok
619,0.638,ok
620,0.623,ok
621,0.615,ok
622,0.633,ok
623,0.576,ok
624,0.600,ok
625,0.559,ok
626,0.616,ok
627,0.604,ok
628,0.563,ok
629,0.638,ok
630,0.726,ok
631,0.582,ok
632,0.618,ok
633,0.580,ok
634,0.431,ok
635,0.445,ok
636,0.424,ok
637,0.403,ok
638,0.436,ok
639,0.368,ok
640,0.467,ok
641,0.361,ok
642,0.515,ok
643,0.578,ok
644,0.548,ok
645,0.516,ok
646,0.632,ok
647,0.714,ok
648,0.677,ok
649,0.674,ok
650,0.491,ok
651,0.510,ok
652,0.476,ok
653,0.426,ok
654,0.343,ok
655,0.300,ok
656,0.482,ok
657,0.479,ok
658,0.478,ok
659,0.369,ok
660,0.392,ok
661,0.476,ok
662,0.493,ok
663,0.506,ok
664,0.502,ok
665,0.991,ok
666,0.543,ok
667,0.858,ok
668,0.487,ok
669,0.477,ok
670,0.633,ok
671,0.590,ok
672,0.990,ok
673,79.907,ok
674,0.629,ok
675,0.476,ok
676,0.388,ok
677,0.396,ok
678,0.385,ok
679,0.498,ok
680,0.551,ok
681,0.622,ok
682,0.749,ok
683,0.566,ok
684,0.430,ok
685,0.602,ok
686,0.558,ok
687,0.765,ok
688,0.792,ok
689,0.632,ok
690,1.182,ok
691,0.743,ok
692,0.538,ok
693,0.788,ok
694,0.732,ok
695,1.033,ok
696,0.842,ok
697,0.899,ok
698,0.753,ok
699,0.545,ok
700,0.529,ok
