iteration,rtt_ms,status,proc_ram_mb,proc_vsz_mb,proc_cpu_pct,sys_ram_pct,sys_cpu_pct
104,0.432,ok,14.699,1155.250,0.0,52.3,0.0
105,0.381,ok,14.699,1155.250,0.0,52.3,0.0
106,0.315,ok,14.699,1155.250,0.0,52.3,0.0
107,0.296,ok,14.699,1155.250,0.0,52.3,0.0
108,0.303,ok,14.699,1155.250,0.0,52.3,0.0
109,0.345,ok,14.699,1155.250,0.0,52.3,0.0
110,0.305,ok,14.699,1155.250,0.0,52.3,0.0
111,0.350,ok,14.699,1155.250,0.0,52.3,0.0
112,0.365,ok,14.699,1155.250,0.0,52.3,0.0
113,0.332,ok,14.699,1155.250,0.0,52.3,0.0
114,0.351,ok,14.699,1155.250,0.0,52.3,0.0
115,0.338,ok,14.699,1155.250,0.0,52.3,0.0
116,0.305,ok,14.699,1155.250,0.0,52.3,0.0
117,0.301,ok,14.699,1155.250,0.0,52.3,0.0
118,0.479,ok,14.699,1155.250,0.0,52.3,0.0
119,0.372,ok,14.699,1155.250,0.0,52.3,0.0
120,0.336,ok,14.699,1155.250,0.0,52.3,0.0
121,0.379,ok,14.699,1155.250,0.0,52.3,0.0
122,0.331,ok,14.699,1155.250,0.0,52.3,0.0
123,0.311,ok,14.699,1155.250,0.0,52.3,0.0
124,0.383,ok,14.699,1155.250,0.0,52.3,0.0
125,0.366,ok,14.699,1155.250,0.0,52.3,0.0
126,0.419,ok,14.699,1155.250,0.0,52.3,0.0
127,0.418,ok,14.699,1155.250,0.0,52.3,0.0
128,0.412,ok,14.699,1155.250,0.0,52.3,0.0
129,0.430,ok,14.699,1155.250,0.0,52.3,0.0
130,0.355,ok,14.699,1155.250,0.0,52.3,0.0
131,0.397,ok,14.699,1155.250,0.0,52.3,0.0
132,0.422,ok,14.699,1155.250,0.0,52.3,0.0
133,0.386,ok,14.699,1155.250,0.0,52.3,0.0
134,0.414,ok,14.699,1155.250,0.0,52.3,0.0
135,0.346,ok,14.699,1155.250,0.0,52.3,0.0
136,0.309,ok,14.699,1155.250,0.0,52.3,0.0
137,0.333,ok,14.699,1155.250,0.0,52.3,0.0
138,0.254,ok,14.699,1155.250,0.0,52.3,0.0
139,0.280,ok,14.699,1155.250,0.0,52.3,0.0
140,0.307,ok,14.699,1155.250,0.0,52.3,0.0
141,0.401,ok,14.699,1155.250,0.0,52.3,0.0
142,0.341,ok,14.699,1155.250,0.0,52.3,0.0
143,0.343,ok,14.699,1155.250,0.0,52.3,0.0
144,0.328,ok,14.699,1155.250,0.0,52.3,0.0
145,0.290,ok,14.699,1155.250,0.0,52.3,0.0
146,0.312,ok,14.699,1155.250,0.0,52.3,0.0
147,0.296,ok,14.699,1155.250,0.0,52.3,0.0
148,0.233,ok,14.699,1155.250,0.0,52.3,0.0
149,0.376,ok,14.699,1155.250,0.0,52.3,0.0
150,0.259,ok,14.699,1155.250,0.0,52.3,0.0
151,0.287,ok,14.699,1155.250,0.0,52.3,0.0
